Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,785,1 ,26890
SpiceJet,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,15:35,485,1 ,7744
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,740,1 ,27992
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,2345,2  ,17135
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1425,1 ,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,655,2  ,11213
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → VTZ → DEL,10:30,435,2  ,17461
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,1825,3  ,12346
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,1420,1 ,22270
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,07:55,140,0,8580
Air India,2019-01-03,Delhi,Cochin,DEL → BLR → COK,09:45,1350,1 ,22798
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,13:20,135,0,7295
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,980,2  ,13366
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,15:10,155,0,6565
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,16:55,90,0,8853
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,22:20,140,0,5515
Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,1265,1 ,14594
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,11:35,145,0,7900
Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,04:00,1660,1 ,28322
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → DEL,10:30,745,1 ,11003
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,885,1 ,26890
Air Asia,2019-01-03,Banglore,New Delhi,BLR → DEL,05:50,170,0,10715
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,17:00,165,0,25913
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,405,1 ,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,00:30,1405,1 ,12599
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → VGA → DEL,05:50,1770,4  ,17686
Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,13:55,90,0,10082
Vistara,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,06:40,915,1 ,18387
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1365,1 ,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,375,1 ,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,19:35,300,1 ,22153
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,1050,1 ,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,06:45,330,1 ,23677
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1090,1 ,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1220,1 ,20800
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1310,1 ,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,550,1 ,26890
GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,07:45,175,0,13663
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,17:15,150,0,5515
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,860,1 ,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,640,1 ,31825
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,530,1 ,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,23:30,170,0,10067
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,665,2  ,13576
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,300,1 ,52229
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,890,1 ,31825
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,755,1 ,31825
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,22:20,170,0,11934
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,980,2  ,13576
Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,1510,1 ,15434
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1200,1 ,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → DEL,19:55,160,0,18308
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,13:00,170,0,19685
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,21:10,165,0,25703
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,1210,1 ,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,06:10,165,0,15676
Air India,2019-01-03,Banglore,New Delhi,BLR → BBI → DEL,09:30,855,1 ,12704
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,1155,1 ,10246
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,800,1 ,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1350,1 ,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,1545,2  ,31783
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,07:00,160,0,21520
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,05:50,1645,1 ,13439
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,17:15,160,0,6565
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,05:15,285,1 ,8064
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,400,1 ,62427
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,14:20,155,0,6565
SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,08:20,135,0,7298
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,11:30,160,0,12648
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50,630,2  ,15119
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,435,1 ,22270
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,2345,2  ,17135
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → DEL,10:30,1490,1 ,11528
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,07:10,175,0,11934
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,13:20,170,0,12526
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,1475,2  ,25430
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,21:10,175,0,21730
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,12:50,385,1 ,36983
GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,20:55,175,0,18558
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,1620,3  ,13081
Air India,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,00:30,1200,1 ,14752
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,490,1 ,22270
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,18:55,170,0,14306
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1280,1 ,20800
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,305,1 ,36235
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,16:15,260,1 ,7917
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,875,1 ,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,935,1 ,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,695,1 ,31825
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,950,1 ,10981
Air India,2019-01-03,Banglore,New Delhi,BLR → BBI → DEL,09:30,1595,1 ,12704
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,1455,1 ,22270
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,1330,1 ,13439
SpiceJet,2019-01-03,Banglore,New Delhi,BLR → PNQ → DEL,10:20,475,1 ,23267
IndiGo,2019-01-03,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,985,2  ,10278
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,02:30,90,0,16000
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,365,1 ,54826
SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,09:30,155,0,7298
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1450,1 ,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,22:00,920,1 ,21130
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,625,1 ,26890
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,14:40,145,0,7295
SpiceJet,2019-01-03,Banglore,New Delhi,BLR → DEL,09:35,175,0,11690
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,435,1 ,36235
Air Asia,2019-01-03,Kolkata,Banglore,CCU → BLR,10:20,155,0,5620
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,325,1 ,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,950,1 ,26890
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,19:40,160,0,21730
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,2315,2  ,25430
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1055,1 ,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,965,1 ,25735
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,20:00,175,0,14306
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,20:35,890,1 ,31825
Air India,2019-01-03,Chennai,Kolkata,MAA → CCU,11:40,135,0,19630
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,05:50,1015,1 ,14069
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,380,1 ,26890
GoAir,2019-01-03,Banglore,New Delhi,BLR → GOI → DEL,15:45,270,1 ,12314
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1045,1 ,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,920,1 ,26890
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,06:55,160,0,4622
Jet Airways,2019-01-03,Mumbai,Hyderabad,BOM → HYD,07:10,85,0,17501
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,315,1 ,22270
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → VGA → DEL,17:00,1795,2  ,14887
GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,11:40,175,0,11111
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,20:25,160,0,4778
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,06:20,85,0,17501
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,370,1 ,11628
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,09:00,150,0,5515
Jet Airways,2019-01-03,Mumbai,Hyderabad,BOM → HYD,10:20,90,0,10875
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,21:20,85,0,12475
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,15:20,155,0,6565
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,905,2  ,17345
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,640,1 ,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,760,1 ,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,16:55,170,0,12649
Vistara,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,06:40,1665,1 ,12371
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,12:00,85,0,12475
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,06:45,1600,2  ,26480
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,375,1 ,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → GAU → DEL,13:50,1730,1 ,17198
Air Asia,2019-01-03,Kolkata,Banglore,CCU → BLR,19:35,150,0,5964
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,570,1 ,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,625,1 ,26890
Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,19:30,75,0,15385
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,435,1 ,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,570,1 ,26890
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,00:20,780,1 ,29528
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,09:10,90,0,13999
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → HYD → COK,14:35,465,1 ,14762
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,16:55,295,1 ,8153
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1165,1 ,25735
