id,popularity,release_date,title
278,31.7233,1994-09-23,The Shawshank Redemption
238,32.5552,1972-03-14,The Godfather
240,18.4702,1974-12-20,The Godfather Part II
424,17.7931,1993-12-15,Schindler's List
389,11.8058,1957-04-10,12 Angry Men
129,23.6712,2001-07-20,Spirited Away
155,32.0503,2008-07-16,The Dark Knight
19404,10.5132,1995-10-20,Dilwale Dulhania Le Jayenge
497,19.0462,1999-12-10,The Green Mile
496243,22.7018,2019-05-30,Parasite
122,25.7374,2003-12-17,The Lord of the Rings: The Return of the King
680,19.5769,1994-09-10,Pulp Fiction
372058,21.0063,2016-08-26,Your Name.
13,20.8082,1994-06-23,Forrest Gump
157336,54.9925,2014-11-05,Interstellar
429,12.6687,1966-12-22,"The Good, the Bad and the Ugly"
769,16.3479,1990-09-12,GoodFellas
346,10.7249,1954-04-26,Seven Samurai
12477,0.0107,1988-04-16,Grave of the Fireflies
637,11.993,1997-12-20,Life Is Beautiful
27205,30.9992,2010-07-15,Inception
724089,1.0779,2020-07-31,Gabriel's Inferno: Part II
770156,5.7476,2020-10-19,Lucy Shimmers and the Prince of Peace
1058694,4.4991,2023-10-19,Radical
761053,5.7929,2020-11-19,Gabriel's Inferno: Part III
567,7.2246,1954-08-01,Rear Window
12493,7.2679,1963-03-01,High and Low
274,3.9484,1991-02-14,The Silence of the Lambs
569094,20.771,2023-05-31,Spider-Man: Across the Spider-Verse
620249,8.2523,2019-08-27,The Legend of Hei
73,12.2319,1998-07-01,American History X
128,15.19,1997-07-12,Princess Mononoke
105,23.2706,1985-07-03,Back to the Future
1184918,25.3665,2024-09-12,The Wild Robot
15804,6.3448,1991-07-27,A Brighter Summer Day
820067,5.8067,2022-05-20,The Quintessential Quintuplets Movie
372754,4.7347,2016-02-20,Dou kyu sei – Classmates
3782,6.4971,1952-10-09,Ikiru
1186532,5.4199,2024-08-22,The Forge
10494,13.1277,1998-02-28,Perfect Blue
207,16.7582,1989-06-02,Dead Poets Society
652837,6.812,2020-12-25,"Josee, the Tiger and the Fish"
101,14.6178,1994-09-14,Léon: The Professional
914,4.8718,1940-10-15,The Great Dictator
1356039,10.5803,2025-02-27,Counterattack
599,8.888,1950-08-10,Sunset Boulevard
533514,6.7846,2020-09-18,Violet Evergarden: The Movie
644479,1.9823,2019-11-01,Dedicated to my ex
